Number,Date.Received.at.MDU,Farm,Batch,MDU.ID,Serotype,o_antigen,Phage.type,R.type,MLVA.Aus,SARDI.ID,Date.collected,Shed.and.pen,Type.of.shelter,Number.in.pen,age,Sample.type..i.,Sample.type.ii,Sample.type.iii,Indication,age2,
1,2/26/13,VIC2,1,13-04335,mSTm,,193,ASTSuTm,04-15-11-00-490,FS13-0452.1,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
2,2/26/13,VIC2,1,13-04336,nt,,nt,nt,nt,FS13-0452.2,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
3,2/26/13,VIC2,1,13-04337,nt,,nt,nt,nt,FS13-0452.3,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
4,2/26/13,VIC2,1,13-04338,nt,,nt,nt,nt,FS13-0452.4,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
5,2/26/13,VIC2,1,13-04339,nt,,nt,nt,nt,FS13-0452.5,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
6,2/26/13,VIC2,1,13-04340,nt,,nt,nt,nt,FS13-0452.6,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
7,2/26/13,VIC2,1,13-04341,nt,,nt,nt,nt,FS13-0452.7,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
8,2/26/13,VIC2,1,13-04342,nt,,nt,nt,nt,FS13-0452.8,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
9,2/26/13,VIC2,1,13-04343,nt,,nt,nt,nt,FS13-0452.9,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
10,2/26/13,VIC2,1,13-04344,nt,,nt,nt,nt,FS13-0452.10,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
11,2/26/13,VIC2,1,13-04345,mSTm,,193,TTm,04-15-11-00-490,FS13-0453.1,10/1/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
12,2/26/13,VIC2,1,13-04346,nt,,nt,nt,nt,FS13-0453.2,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
13,2/26/13,VIC2,1,13-04347,No growth,,n.a,n/a,n/a,FS13-0453.3,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
14,2/26/13,VIC2,1,13-04348,nt,,nt,nt,nt,FS13-0453.4,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
15,2/26/13,VIC2,1,13-04349,nt,,nt,nt,nt,FS13-0453.5,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
16,2/26/13,VIC2,1,13-04350,nt,,nt,nt,nt,FS13-0453.6,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
17,2/26/13,VIC2,1,13-04351,nt,,nt,nt,nt,FS13-0453.7,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
18,2/26/13,VIC2,1,13-04352,nt,,nt,nt,nt,FS13-0453.8,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
19,2/26/13,VIC2,1,13-04353,nt,,nt,nt,nt,FS13-0453.9,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
20,2/26/13,VIC2,1,13-04354,nt,,nt,nt,nt,FS13-0453.10,1/10/13,,conventional,,13wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",13,
21,2/26/13,VIC2,1,13-04355,mSTm,,193,T,04-15-11-00-490,FS13-0455.1,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
22,2/26/13,VIC2,1,13-04356,nt,,nt,nt,nt,FS13-0455.2,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
23,2/26/13,VIC2,1,13-04357,nt,,nt,nt,nt,FS13-0455.3,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
24,2/26/13,VIC2,1,13-04358,nt,,nt,nt,nt,FS13-0455.4,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
25,2/26/13,VIC2,1,13-04359,nt,,nt,nt,nt,FS13-0455.5,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
26,2/26/13,VIC2,1,13-04360,nt,,nt,nt,nt,FS13-0455.6,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
27,2/26/13,VIC2,1,13-04361,nt,,nt,nt,nt,FS13-0455.7,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
28,2/26/13,VIC2,1,13-04362,nt,,nt,nt,nt,FS13-0455.8,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
29,2/26/13,VIC2,1,13-04363,nt,,nt,nt,nt,FS13-0455.9,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
30,2/26/13,VIC2,1,13-04364,nt,,nt,nt,nt,FS13-0455.10,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
31,2/26/13,VIC2,1,13-04365,mSTm,,193,T,04-15-11-00-490,FS13-0456.1,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
32,2/26/13,VIC2,1,13-04366,nt,,nt,nt,nt,FS13-0456.2,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
33,2/26/13,VIC2,1,13-04367,nt,,nt,nt,nt,FS13-0456.3,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
34,2/26/13,VIC2,1,13-04368,No growth,,n.a,n/a,n/a,FS13-0456.4,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
35,2/26/13,VIC2,1,13-04369,No growth,,n.a,n/a,n/a,FS13-0456.5,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
36,2/26/13,VIC2,1,13-04370,nt,,nt,nt,nt,FS13-0456.6,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
37,2/26/13,VIC2,1,13-04371,nt,,nt,nt,nt,FS13-0456.7,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
38,2/26/13,VIC2,1,13-04372,No growth,,n.a,n/a,n/a,FS13-0456.8,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
39,2/26/13,VIC2,1,13-04373,No growth,,n.a,n/a,n/a,FS13-0456.9,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
40,2/26/13,VIC2,1,13-04374,nt,,nt,nt,nt,FS13-0456.10,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
41,2/26/13,VIC2,1,13-04375,mSTm,,193,T,04-15-11-00-490,FS13-0457.1,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
42,2/26/13,VIC2,1,13-04376,nt,,nt,nt,nt,FS13-0457.2,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
43,2/26/13,VIC2,1,13-04377,nt,,nt,nt,nt,FS13-0457.3,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
44,2/26/13,VIC2,1,13-04378,mSTm,,193,T,04-15-11-00-490,FS13-0458.1,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
45,2/26/13,VIC2,1,13-04379,nt,,nt,nt,nt,FS13-0458.2,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
46,2/26/13,VIC2,1,13-04380,nt,,nt,nt,nt,FS13-0458.3,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
47,2/26/13,VIC2,1,13-04381,nt,,nt,nt,nt,FS13-0458.4,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
48,2/26/13,VIC2,1,13-04382,nt,,nt,nt,nt,FS13-0458.5,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
49,2/26/13,VIC2,1,13-04383,nt,,nt,nt,nt,FS13-0458.6,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
50,2/26/13,VIC2,1,13-04384,nt,,nt,nt,nt,FS13-0458.7,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
